id;id_advert;id_customer;date_created;address
88c93c6b-b10f-4bb9-b7dd-3ab2c90c3b8d;78f3cc19-dcef-435b-b52d-8ed0ea7603d2;31347e44-67cf-4740-a492-ca4b0b2b4175;2010-05-17 01:18:42;5253 Paul Circles Suite 998 Randystad, NM 60265
a70e5c47-1a89-4275-b38d-0f1f1d4dbc96;223bff5f-d21a-4956-aa03-59aa4d41d861;b8018f99-8470-4b45-b5f4-85b818a2ce37;1995-07-24 19:28:46;8745 Stephens Row Suite 094 Port Kathy, AK 43822
0a446786-f2db-43d2-b068-4435cd4e5344;cd06aa5d-d53c-4bb1-bd8f-0efb5f8ba086;f4d66ef3-42d9-424f-b70c-0529633c157d;2002-04-30 02:20:11;8296 David Locks Lopezton, PW 30679
9056c51e-34a1-4368-9d2c-2eef797f94ae;5d2ad3c8-5753-4afc-99af-2b23ea011c44;bf07c72d-fb1e-49a1-a3e1-b2fd915ab5f6;1970-06-25 02:39:11;19627 Zachary Parkway Suite 685 New Kathleen, CT 17321
6aedec29-4a32-49e9-bb1c-c3506b72a357;367c2c6f-ad1e-4346-be8d-843ef18b55e6;b8018f99-8470-4b45-b5f4-85b818a2ce37;2015-05-18 08:46:51;847 Jason Corners Apt. 162 Lake Maria, LA 14175
6e02c02e-f140-4e2e-954f-1f892f6a3f06;b2505490-d217-4f06-ad18-70f3e6839271;2d405a19-c675-4255-94d1-12c1b925020d;1975-08-07 23:07:04;USCGC Robertson FPO AP 37231
8c9526bd-8fc5-41be-911b-83f0fdb30848;c96a2701-2e51-4fc6-bfce-618061d2c160;b8018f99-8470-4b45-b5f4-85b818a2ce37;2001-01-05 19:07:53;210 Mary Ways Apt. 143 North Christophermouth, UT 42561
ae22998a-da4e-43cc-8869-0ae988ad97d8;30be43c9-92cd-48f8-b7eb-757f3dce9c5b;31347e44-67cf-4740-a492-ca4b0b2b4175;2018-04-07 03:49:27;301 Johnson Forest East Rhondahaven, FL 46424
64effca7-c92b-4d3f-bc30-72d5962e7878;388fbe8c-b3f7-4eee-9dc2-b610f260fc69;2d405a19-c675-4255-94d1-12c1b925020d;1993-02-24 03:32:31;2333 Bryan Courts Carrhaven, NV 67161
9dff1e49-cc70-4f27-82ce-2630cd7698b0;e6acf243-6cc8-45ec-b4ae-aea1ef0640cc;8fce78f6-c4b3-44e6-8440-d06bc5df96bb;1995-02-27 19:48:09;3003 David Falls New Diana, MS 73674
c62a7c68-74c9-4a99-9682-299748557c4e;828be11e-2458-443f-9561-99289cfc4f2b;2afcd90b-57f9-4cf6-b2d1-2a468ea78464;2019-07-16 06:47:09;2430 Ryan Trace Suite 431 North Jamesberg, RI 39401
14ec5a5a-c244-49bd-a274-81138f6ebae5;2e974fda-e5f8-47eb-9185-dd9ae4b8cfe4;75d2d75c-fdc5-43ea-83c6-62762a722899;1979-05-11 02:59:39;345 Walker Inlet Bakerbury, DE 24443
987abf61-8f49-471f-a934-d4798e9b39af;1c7114ba-c2f0-4207-8467-74ca855b51c2;31347e44-67cf-4740-a492-ca4b0b2b4175;1976-06-22 15:12:26;163 Jeanette Dam Suite 787 South Davidhaven, VT 23122
944f8e41-b8f1-4e36-a24b-b04f744c99d7;bb0da5f9-bcef-40d9-94a7-959ea45c86fd;31347e44-67cf-4740-a492-ca4b0b2b4175;1972-04-14 16:06:09;948 Gonzales Keys Meyersville, NH 90116
076c704d-4ac7-4013-88d7-77a3c09c0697;23c31fb4-06fe-43a4-a85b-0533e3b693ad;bf07c72d-fb1e-49a1-a3e1-b2fd915ab5f6;2001-05-29 11:31:40;52022 Carey Plains Port Jamesfurt, HI 05548
e424a4bb-d1f7-4324-be4d-5aceb8b518dc;3e149afc-1007-434f-95b6-df4f02197502;b8018f99-8470-4b45-b5f4-85b818a2ce37;2006-02-06 23:51:49;4081 Tanya Mills Apt. 903 Philliptown, CA 35207
1bcf50c8-623c-4d7c-89b5-ecfde01a9e44;119bad17-62f4-4fed-a42b-51c6373849b3;75d2d75c-fdc5-43ea-83c6-62762a722899;1999-10-13 19:31:35;768 Thomas Harbors Beckyton, CT 50906
8d1412d2-5220-408d-9652-d0a8b6e11892;51cb2fd9-23c0-4b8f-9020-0cb68e7d00ef;bf07c72d-fb1e-49a1-a3e1-b2fd915ab5f6;1983-05-06 06:42:03;44889 Winters Throughway South Rebeccashire, WI 19494
6a5f6d6f-1c86-4340-938b-d98e0888dbf6;a79538f6-9ad2-479b-a1a6-f73550862163;b8018f99-8470-4b45-b5f4-85b818a2ce37;2019-12-17 10:03:21;74729 Wiggins Forge Suite 629 Garrisonburgh, KY 22332
9f3d1069-5783-4c08-8d64-6c84cfa96081;6bafecd7-1b44-4d77-b2d0-ec4fca528c69;75d2d75c-fdc5-43ea-83c6-62762a722899;1981-10-10 01:26:30;4259 Rodriguez River Apt. 669 Johnside, WA 59838
